"Ruta","Creaci?n","Modificaci?n"
"C:\Users\rodri\my-app\src\main\horarios.js","2025-05-09 11:49:31","2025-05-16 12:15:36"
"C:\Users\rodri\my-app\src\main\main.html","2025-04-15 11:20:25","2025-04-30 21:28:21"
"C:\Users\rodri\my-app\src\main\main.js","2025-04-15 11:26:33","2025-05-20 14:46:54"
"C:\Users\rodri\my-app\src\main\horarios.html","2025-05-09 11:49:13","2025-05-16 11:57:22"
"C:\Users\rodri\my-app\src\main\gestionar-empleados.html","2025-05-14 15:08:16","2025-05-23 12:32:01"
"C:\Users\rodri\my-app\src\main\gestionar-empleados.js","2025-05-14 15:16:32","2025-05-23 12:30:19"
"C:\Users\rodri\my-app\src\main\horarios.css","2025-05-09 11:50:16","2025-05-14 11:48:01"
"C:\Users\rodri\my-app\src\main\style_empleados.css","2025-05-06 23:44:46","2025-05-09 12:47:02"
"C:\Users\rodri\my-app\src\python\reconas.py","2025-05-06 16:30:22","2025-05-06 16:37:59"
"C:\Users\rodri\my-app\src\python\register.py","2025-04-03 01:30:44","2025-04-23 11:27:06"
"C:\Users\rodri\my-app\src\python\registerv2.py","2025-04-08 09:05:34","2025-04-23 11:02:41"
"C:\Users\rodri\my-app\src\python\pruebarec.py","2025-04-08 12:22:42","2025-04-08 21:57:56"
"C:\Users\rodri\my-app\src\python\asistencia.py","2025-04-28 21:43:20","2025-05-23 00:29:55"
"C:\Users\rodri\my-app\src\python\fresh.py","2025-04-01 09:55:32","2025-04-01 09:55:32"
"C:\Users\rodri\my-app\src\python\freshv2.py","2025-04-07 20:35:35","2025-04-23 11:06:59"
"C:\Users\rodri\my-app\src\main\gestionar-empleados.css","2025-05-14 15:12:16","2025-05-23 12:33:21"
"C:\Users\rodri\my-app\src\script.js","2025-04-08 21:47:09","2025-05-06 12:37:57"
"C:\Users\rodri\my-app\src\assets\index.css","2025-04-08 21:46:42","2025-05-24 13:29:27"
"C:\Users\rodri\my-app\src\assets\main.css","2025-04-15 11:28:27","2025-04-15 11:48:02"
"C:\Users\rodri\my-app\src\preload.js","2025-03-26 10:46:14","2025-05-22 22:03:53"
"C:\Users\rodri\my-app\src\index.css","2025-03-26 10:46:14","2025-03-26 10:46:07"
"C:\Users\rodri\my-app\src\index.html","2025-03-26 10:46:14","2025-05-24 13:31:01"
"C:\Users\rodri\my-app\src\index.js","2025-03-26 10:46:14","2025-05-22 22:05:05"
"C:\Users\rodri\my-app\src\main\asistencia.css","2025-05-19 12:49:25","2025-05-19 16:03:52"
"C:\Users\rodri\my-app\src\main\asistencia_empleado.js","2025-05-20 14:38:31","2025-05-24 17:42:55"
"C:\Users\rodri\my-app\src\main\empleados_form.html","2025-04-19 12:07:43","2025-05-23 01:34:43"
"C:\Users\rodri\my-app\src\main\empleados_form.js","2025-04-21 15:02:03","2025-05-23 02:16:20"
"C:\Users\rodri\my-app\src\main\asistencia_empleado.html","2025-05-20 14:39:06","2025-05-21 12:54:30"
"C:\Users\rodri\my-app\src\main\asistencia.html","2025-05-19 12:48:03","2025-05-20 15:19:38"
"C:\Users\rodri\my-app\src\main\asistencia.js","2025-05-19 16:10:05","2025-05-20 13:01:31"
"C:\Users\rodri\my-app\src\main\asistencia_empleado.css","2025-05-20 14:42:25","2025-05-20 16:00:41"
